DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CIRCUNSCRIPCION_CODIGO_ORIGINAL;CIRCUNSCRIPCION_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;PARROQUIA_CODIGO;PARROQUIA_NOMBRE;JUNTA_SEXO;CANDIDATO_CODIGO;VOTOS_EN_BLANCO;VOTOS_NULOS;ELECTORES_REGISTRO;ELECTORES_RESULTADOS;SUFRAGANTES;CANDIDATO_VOTOS
1;1;1;1;0;10;555;555;1690;1690;F;502;3;33;447;447;402;172
1;1;1;1;0;10;555;555;1690;1690;M;16;2;17;432;432;365;211
1;1;1;1;0;10;555;555;1690;1690;M;502;2;17;432;432;365;135
1;1;1;1;0;10;555;555;5690;5690;F;16;19;174;3616;3616;2965;914
1;1;1;1;0;10;555;555;5690;5690;F;502;19;174;3616;3616;2965;1858
1;1;1;1;0;10;555;555;5690;5690;M;16;34;152;3823;3824;2848;1079
1;1;1;1;0;10;555;555;5690;5690;M;502;34;152;3823;3824;2848;1583
1;1;1;1;0;10;556;556;1130;1130;F;16;5;15;485;485;431;200
1;1;1;1;0;10;556;556;1130;1130;F;502;5;15;485;485;431;211
1;1;1;1;0;10;556;556;1130;1130;M;16;1;16;510;510;427;219
1;1;1;1;0;10;556;556;1130;1130;M;502;1;16;510;510;427;191
1;1;1;1;0;10;556;556;6875;6875;F;16;59;314;5747;5747;5254;1841
1;1;1;1;0;10;556;556;6875;6875;F;502;59;314;5747;5747;5254;3040
1;1;1;1;0;10;556;556;6875;6875;M;16;52;280;6375;6383;5615;2262
1;1;1;1;0;10;556;556;6875;6875;M;502;52;280;6375;6383;5615;3020
1;1;1;1;0;10;780;780;1540;1540;F;16;2;13;346;346;305;91
1;1;1;1;0;10;780;780;1540;1540;F;502;2;13;346;346;305;199
1;1;1;1;0;10;780;780;1540;1540;M;16;1;16;335;335;279;95
1;1;1;1;0;10;780;780;1540;1540;M;502;1;16;335;335;279;167
1;1;1;1;0;10;780;780;6360;6360;F;16;17;94;1473;1473;1175;384
1;1;1;1;0;10;780;780;6360;6360;F;502;17;94;1473;1473;1175;680
1;1;1;1;0;10;780;780;6360;6360;M;16;8;85;1246;1248;1031;439
1;1;1;1;0;10;780;780;6360;6360;M;502;8;85;1246;1248;1031;499
1;1;1;1;0;10;855;855;4560;4560;F;16;1;9;262;262;222;120
1;1;1;1;0;10;855;855;4560;4560;F;502;1;9;262;262;222;92
1;1;1;1;0;10;855;855;4560;4560;M;16;3;3;186;186;148;75
1;1;1;1;0;10;855;855;4560;4560;M;502;3;3;186;186;148;67
1;1;1;1;0;10;855;855;6565;6565;F;16;19;56;2089;2089;1588;823
1;1;1;1;0;10;855;855;6565;6565;F;502;19;56;2089;2089;1588;690
1;1;1;1;0;10;855;855;6565;6565;M;16;6;49;1946;1946;1265;690
1;1;1;1;0;10;855;855;6565;6565;M;502;6;49;1946;1946;1265;520
1;1;1;1;0;10;885;885;575;575;F;16;6;74;1043;1043;889;326
1;1;1;1;0;10;885;885;575;575;F;502;6;74;1043;1043;889;483
1;1;1;1;0;10;885;885;575;575;M;16;2;45;974;974;851;382
1;1;1;1;0;10;885;885;575;575;M;502;2;45;974;974;851;422
1;1;1;1;0;10;885;885;1175;1175;F;16;2;27;675;675;567;213
1;1;1;1;0;10;885;885;1175;1175;F;502;2;27;675;675;567;325
1;1;1;1;0;10;885;885;1175;1175;M;16;8;35;742;742;611;252
1;1;1;1;0;10;885;885;1175;1175;M;502;8;35;742;742;611;316
1;1;1;1;0;10;885;885;2550;2550;F;16;5;17;595;595;505;148
1;1;1;1;0;10;885;885;2550;2550;F;502;5;17;595;595;505;335
1;1;1;1;0;10;885;885;2550;2550;M;16;1;15;594;594;461;145
1;1;1;1;0;10;885;885;2550;2550;M;502;1;15;594;594;461;300
1;1;1;1;0;10;885;885;6595;6595;F;16;48;285;4983;4983;4144;1484
1;1;1;1;0;10;885;885;6595;6595;F;502;48;285;4983;4983;4144;2327
1;1;1;1;0;10;885;885;6595;6595;M;16;24;195;4572;4573;3518;1464
1;1;1;1;0;10;885;885;6595;6595;M;502;24;195;4572;4573;3518;1835
1;1;1;1;0;10;915;915;1535;1535;F;16;4;30;393;393;350;106
1;1;1;1;0;10;915;915;1535;1535;F;502;4;30;393;393;350;210
1;1;1;1;0;10;915;915;1535;1535;M;16;1;22;327;327;264;80
1;1;1;1;0;10;915;915;1535;1535;M;502;1;22;327;327;264;161
1;1;1;1;0;10;915;915;1575;1575;F;16;7;30;358;358;300;144
1;1;1;1;0;10;915;915;1575;1575;F;502;7;30;358;358;300;119
1;1;1;1;0;10;915;915;1575;1575;M;16;3;20;253;253;178;75
1;1;1;1;0;10;915;915;1575;1575;M;502;3;20;253;253;178;80
1;1;1;1;0;10;915;915;1585;1585;F;16;10;50;508;508;429;104
1;1;1;1;0;10;915;915;1585;1585;F;502;10;50;508;508;429;265
1;1;1;1;0;10;915;915;1585;1585;M;16;4;17;356;356;254;53
1;1;1;1;0;10;915;915;1585;1585;M;502;4;17;356;356;254;180
1;1;1;1;0;10;915;915;2950;2950;F;16;6;38;621;621;499;88
1;1;1;1;0;10;915;915;2950;2950;F;502;6;38;621;621;499;367
1;1;1;1;0;10;915;915;2950;2950;M;16;6;26;579;579;383;62
1;1;1;1;0;10;915;915;2950;2950;M;502;6;26;579;579;383;289
1;1;1;1;0;10;915;915;6435;6435;F;16;41;258;4134;4134;3140;1016
1;1;1;1;0;10;915;915;6435;6435;F;502;41;258;4134;4134;3140;1825
1;1;1;1;0;10;915;915;6435;6435;M;16;23;197;4098;4098;2690;990
1;1;1;1;0;10;915;915;6435;6435;M;502;23;197;4098;4098;2690;1480
1;1;1;1;0;10;955;955;85;85;F;16;1;7;375;375;326;67
1;1;1;1;0;10;955;955;85;85;F;502;1;7;375;375;326;251
1;1;1;1;0;10;955;955;85;85;M;16;1;4;415;415;322;68
1;1;1;1;0;10;955;955;85;85;M;502;1;4;415;415;322;249
1;1;1;1;0;10;955;955;2725;2725;F;16;7;36;1058;1058;892;145
1;1;1;1;0;10;955;955;2725;2725;F;502;7;36;1058;1058;892;704
1;1;1;1;0;10;955;955;2725;2725;M;16;3;34;1232;1232;1004;236
1;1;1;1;0;10;955;955;2725;2725;M;502;3;34;1232;1232;1004;731
1;1;1;1;0;10;955;955;6480;6480;F;16;6;37;1123;1123;981;181
1;1;1;1;0;10;955;955;6480;6480;F;502;6;37;1123;1123;981;757
1;1;1;1;0;10;955;955;6480;6480;M;16;5;35;1125;1125;899;207
1;1;1;1;0;10;955;955;6480;6480;M;502;5;35;1125;1125;899;652
1;1;1;1;0;10;960;960;1650;1650;F;16;5;19;639;639;537;90
1;1;1;1;0;10;960;960;1650;1650;F;502;5;19;639;639;537;423
1;1;1;1;0;10;960;960;1650;1650;M;16;1;17;538;538;445;96
1;1;1;1;0;10;960;960;1650;1650;M;502;1;17;538;538;445;331
1;1;1;1;0;10;960;960;6485;6485;F;16;9;38;982;982;697;198
1;1;1;1;0;10;960;960;6485;6485;F;502;9;38;982;982;697;452
1;1;1;1;0;10;960;960;6485;6485;M;16;3;29;1043;1043;678;204
